Protocollo,DataOraIncidente,Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,Chilometrica,DaSpecificare,Longitude,Latitude
5466558,2021-06-15T19:00:00Z,Strada Urbana,VIA DEL TORRACCIO DI TORRENOVA,all'intersezione con,VIA ALFREDO BLASI,VIA ALFREDO BLASI,,,12.623,41.8678
5466718,2021-06-15T20:20:00Z,Strada Urbana,VIA SEBASTIANO GRANDIS,all'intersezione con,VIA SESSORIANA,VIA SESSORIANA,,,12.5141,41.8891
5466876,2021-06-15T20:30:00Z,Strada Urbana,VIA DI SCORTICABOVE,all'intersezione con,VIA PIEVE TORINA,VIA PIEVE TORINA,,,12.5924,41.9347
5466504,2021-06-15T22:10:00Z,Strada Urbana,VIA CASILINA,all'intersezione semaforizzata con,VIA DI TORRE SPACCATA,VIA DI TORRE SPACCATA,,,12.5873,41.8684
5466610,2021-06-15T22:20:00Z,Strada Urbana,VIA DI BOCCEA,all'intersezione con,VIA DI CASAL SELCE,VIA DI CASAL SELCE,,,12.3533,41.928
5466502,2021-06-15T22:30:00Z,Strada Urbana,VIA CASILINA,all'intersezione semaforizzata con,VIALE DELLA PRIMAVERA,VIALE DELLA PRIMAVERA,,,12.6212,41.8626
5466564,2021-06-15T23:30:00Z,Strada Urbana,CIRCONVALLAZIONE TUSCOLANA,all'intersezione con,VIA QUINTILIO VARO,VIA QUINTILIO VARO,,,12.5684,41.8516
5466852,2021-06-15T23:35:00Z,Strada Urbana,PIAZZA DI S. MARIA LIBERATRICE,all'intersezione con,VIA MASTRO GIORGIO,VIA MASTRO GIORGIO,,,12.4761,41.8802
5469308,2021-06-16T07:10:00Z,Strada Urbana,VIALE REGINA MARGHERITA,all'intersezione semaforizzata con,VIA GIOVANNI BATTISTA MORGAGNI,VIA GIOVANNI BATTISTA MORGAGNI,,,12.5106,41.9099
5468507,2021-06-16T07:20:00Z,Strada Urbana,VIALE BRUNO RIZZIERI,all'intersezione con,VIA FRANCESCO GENTILE,VIA FRANCESCO GENTILE,,,12.5881,41.8526
5467052,2021-06-16T08:05:00Z,Strada Urbana,VIA LABICANA,all'intersezione semaforizzata con,PIAZZA DI S. CLEMENTE,PIAZZA DI S. CLEMENTE,,,12.4984,41.8897
5468452,2021-06-16T08:20:00Z,Strada Urbana,VIA DEL MARE,all'intersezione con,VIA DI CASTEL FUSANO,VIA DI CASTEL FUSANO,,,12.4632,41.8403
5468895,2021-06-16T08:20:00Z,Strada Urbana,VIALE GIORGIO WASHINGTON,all'intersezione con,VIALE DAVID LUBIN,VIALE DAVID LUBIN,,,12.477,41.9122
